px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.90668	-13.2149	-2.71648	-0.0129304	-1.47525	7.82914	-13.0525	7.9	-13.15	-2.72986	0	0.431203	R
7.75971	-13.1993	-2.7111	-0.0987657	-1.48214	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.0667824	L
7.65985	-13.2497	-2.63966	-0.0552665	-1.25881	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	13.3149	R
7.51539	-13.2424	-2.65444	-0.116697	-1.25218	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0.247821	L
7.37101	-13.2272	-2.6455	-0.16908	-1.21562	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.866151	R
7.21644	-13.2078	-2.66095	-0.228806	-1.20334	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.226403	L
7.07784	-13.1362	-2.68938	-0.339049	-1.29118	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	2.66306	R
6.933	-13.1035	-2.71241	-0.390212	-1.27024	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.513754	L
6.79821	-13.0596	-2.70271	-0.439941	-1.23697	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.552786	R
6.64317	-13.0127	-2.72673	-0.488309	-1.20891	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.599399	L
6.51449	-13.0016	-2.6564	-0.46494	-1.04344	6.40137	-13.0799	6.4	-13.05	-2.72678	0	10.1378	R
6.35521	-12.9651	-2.68354	-0.490227	-1.00087	6.26174	-13.0534	6.25	-13.05	-2.72678	0	0.990922	L
6.22123	-12.9208	-2.66296	-0.506782	-0.93313	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	1.37958	R
6.05767	-12.8784	-2.69395	-0.523304	-0.887875	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	1.11305	L
5.94763	-12.7524	-2.75598	-0.649491	-1.03851	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	7.9509	R
5.79596	-12.6936	-2.7918	-0.66649	-0.992988	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	1.35204	L
5.66933	-12.6406	-2.73475	-0.656158	-0.873968	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	6.97962	R
5.51926	-12.5765	-2.75421	-0.66999	-0.831711	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0.765459	L
5.40321	-12.4588	-2.78479	-0.744212	-0.884034	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	1.40705	R
5.24593	-12.389	-2.81077	-0.747557	-0.828281	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	1.24153	L
5.128	-12.2998	-2.79529	-0.770257	-0.790779	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	0.58327	R
4.99323	-12.2102	-2.80859	-0.788079	-0.759322	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0.359219	L
4.89336	-12.0988	-2.82325	-0.834241	-0.77272	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.468457	R
4.78444	-12.0104	-2.82639	-0.853738	-0.750048	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.231086	L
4.68678	-11.8833	-2.8404	-0.906324	-0.77057	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.324832	R
4.6079	-11.7518	-2.83347	-0.961163	-0.786071	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.0853293	L
4.52721	-11.6513	-2.76761	-0.97633	-0.733479	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	5.22839	R
4.47002	-11.524	-2.74933	-1.03271	-0.754956	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.467338	L
4.39225	-11.3459	-2.89396	-1.12103	-0.846336	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	26.0305	R
4.36835	-11.1946	-2.88647	-1.19775	-0.888934	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.478449	L
4.36218	-11.062	-2.78609	-1.27392	-0.926541	4.43713	-11.024	4.45	-11.05	0	1.81614	10.9783	R
4.35886	-10.9073	-2.77249	-1.35615	-0.96676	4.45136	-10.93	4.45	-10.95	0	1.81612	0.549953	L
4.34055	-10.758	-2.76582	-1.41789	-0.978684	4.44745	-10.786	4.45	-10.8	0	2.72555	0.139066	R
4.36021	-10.6045	-2.75374	-1.50358	-1.01962	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.661064	L
4.36314	-10.4576	-2.74617	-1.56673	-1.03045	4.46329	-10.5756	4.45	-10.5	0	2.729	0.282266	R
4.38707	-10.3081	-2.74091	-1.6399	-1.05146	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.216362	L
4.41621	-10.1608	-2.73422	-1.7122	-1.07303	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.233866	R
4.47106	-10.0135	-2.73226	-1.79555	-1.10245	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.414713	L
4.49756	-9.87056	-2.73461	-1.83738	-1.06922	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.580929	R
4.56611	-9.72808	-2.73647	-1.91616	-1.09208	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.326473	L
4.56761	-9.57532	-2.7482	-1.90304	-0.968253	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	2.62483	R
4.65081	-9.43603	-2.75374	-1.97961	-0.993344	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.558503	L
4.72486	-9.30253	-2.75371	-2.04199	-1.00164	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.411705	R
4.83217	-9.16413	-2.77308	-2.12143	-1.0246	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.818044	L
4.91218	-9.04559	-2.77788	-2.17675	-1.03005	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.0998768	R
5.00378	-8.93592	-2.78052	-2.23517	-1.03681	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.0882221	L
5.07185	-8.80798	-2.7708	-2.2417	-0.942123	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.82157	R
5.18902	-8.68282	-2.79062	-2.30247	-0.946912	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.469633	L
5.28856	-8.58065	-2.79391	-2.3512	-0.94658	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.0949706	R
5.39994	-8.47518	-2.80936	-2.40115	-0.945674	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.249244	L
5.48975	-8.36022	-2.79457	-2.40479	-0.852159	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	1.76269	R
5.59406	-8.25732	-2.78802	-2.44496	-0.846803	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.175446	L
5.67494	-8.12982	-2.77324	-2.42023	-0.712008	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	3.28863	R
5.80157	-8.0187	-2.79219	-2.45798	-0.706587	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.341371	L
5.90109	-7.90188	-2.78561	-2.45162	-0.618494	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	1.41927	R
6.02745	-7.79406	-2.80131	-2.48231	-0.612197	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.240916	L
6.12533	-7.67571	-2.79141	-2.46258	-0.507547	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	1.95884	R
6.24783	-7.57428	-2.79835	-2.48779	-0.50367	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.0560694	L
6.35532	-7.46526	-2.79218	-2.47955	-0.431711	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	0.953474	R
6.47308	-7.37114	-2.78956	-2.50106	-0.429781	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.026188	L
6.59309	-7.29168	-2.79832	-2.54229	-0.475444	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	1.07861	R
6.71717	-7.20136	-2.81476	-2.56206	-0.469343	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.246952	L
6.79436	-7.06143	-2.78717	-2.47699	-0.252656	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	9.05186	R
6.90744	-6.96421	-2.78221	-2.48637	-0.248459	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.116796	L
7.04408	-6.88916	-2.78753	-2.53212	-0.310893	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.736972	R
7.16843	-6.79281	-2.79274	-2.54337	-0.304323	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.101254	L
7.2633	-6.67157	-2.77629	-2.48544	-0.154548	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	4.30964	R
7.37977	-6.57568	-2.77454	-2.4906	-0.151143	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.0445965	L
7.5349	-6.54329	-2.79187	-2.60164	-0.357763	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	8.13886	R
7.65533	-6.47102	-2.7933	-2.61872	-0.356818	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.00269014	L
7.77655	-6.38533	-2.78517	-2.61832	-0.319346	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	0.407765	R
7.90047	-6.32022	-2.76983	-2.639	-0.323867	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.206901	L
8.02648	-6.24192	-2.76292	-2.64052	-0.29032	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.277572	R
8.15666	-6.16522	-2.76297	-2.65269	-0.286219	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.0399945	L
8.24612	-6.06173	-2.74085	-2.59155	-0.138273	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	4.6189	R
8.35927	-5.98162	-2.74306	-2.59213	-0.131279	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.0952245	L
8.51156	-5.93252	-2.75789	-2.65793	-0.247673	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	2.8419	R
8.64789	-5.86293	-2.75977	-2.67202	-0.24807	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.00638107	L
8.74891	-5.75208	-2.73339	-2.60243	-0.0848144	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	5.8386	R
8.87451	-5.66825	-2.73461	-2.60186	-0.0790084	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.0577345	L
8.97127	-5.57007	-2.72157	-2.55074	0.029987	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	2.54817	R
9.07946	-5.48556	-2.72259	-2.5427	0.0371156	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.098999	L
9.22373	-5.43106	-2.73472	-2.60531	-0.0942819	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	4.34491	R
9.35143	-5.34842	-2.73729	-2.60629	-0.0896676	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.032381	L
9.44385	-5.22974	-2.71251	-2.52904	0.0687254	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	5.36732	R
9.5636	-5.14121	-2.71255	-2.5231	0.0710905	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.0107204	L
9.66546	-5.03326	-2.70041	-2.47022	0.169942	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	2.31596	R
9.77752	-4.93852	-2.69881	-2.45857	0.172472	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.0216487	L
9.87331	-4.82231	-2.69089	-2.40286	0.263288	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	1.66699	R
9.97804	-4.72672	-2.68421	-2.38983	0.261874	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.0406754	L
10.0606	-4.59812	-2.67831	-2.32385	0.35862	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	1.70313	R
10.1571	-4.48136	-2.68237	-2.2983	0.364707	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0.0628123	L
10.2434	-4.3569	-2.68322	-2.25692	0.402318	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	0.324522	R
10.3394	-4.22508	-2.69962	-2.22772	0.408757	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0.247136	L
10.4659	-4.13608	-2.70674	-2.2735	0.279455	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	3.00973	R
